hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
eps Eri,HD 22049,0,1,1,500,"32,026,000.0",3.2,1,0,0,Published Confirmed,0,<a refstr=MAWET_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...33M/abstract target=ref>Mawet et al. 2019</a>,"269,000,000,000","3,000,000,000","-3,000,000,000",0,,,,,,,,,,,,,"24,790,740","12,077,540","-3,813,960",0,"78,000","38,000","-12,000",0,Mass,"70,000","60,000","-50,000",0,,,,,,,,,0,,,,,,,300,-300,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m54.82s,"532,284,306",-09d27m29.42s,"-94,581,715",,,"48,300","-48,300","17,760,000","2,860,000","-2,860,000",2020-09-08,2019-01,2020-09-03
GJ 674,,1,1,1,550,"45,489,600.0",4.5,1,0,0,Published Confirmed,0,<a refstr=BONFILS_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...474..293B/abstract target=ref> Bonfils et al. 2007 </a>,"469,380,000","700,000","-700,000",0,"39,000",,,0,,,,,,,,,"1,109,000",,,0,"3,500",,,0,Msini,"200,000","20,000","-20,000",0,,,,,,,,,0,M2.5,"3600,00","100,00","-100,00",0,,450,-450,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h28m40.81s,"2,621,700,476",-46d53m56.34s,"-468,989,826",,,"10,150","-10,150","48,550,000","180,000","-180,000",2014-05-14,2007-10,2014-05-14
AU Mic,HD 197481,0,1,2,22,"97,221,000.0",9.7,1,1,0,Published Confirmed,0,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,"846,300,000",200,-200,0,,,,,,,,,,,,,"1,170,000","500,000","-500,000",0,"3,681","1,573","-1,573",0,Mass,"40,000","45,000","-25,000",0,,,,,,,,,1,,"3700,00","100,00","-100,00",0,,3,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,"3,112,911,369",-31d20m32.82s,"-313,424,500",,,"46,250","-46,250","45,290,000","200,000","-200,000",2022-05-09,2022-05,2022-05-09
L 98-59,,1,1,4,800,"106,194,000.0",10.6,1,1,0,Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,"225,311,360",120,-150,0,"21,910",800,-840,0,850,61,-47,0,76,5,-4,0,"40,000","16,000","-15,000",0,126,50,-47,0,Mass,"103,000","117,000","-45,000",0,"24,70","5,00","-4,10",0,627,33,-36,0,0,M3 V,"3415,00","135,00","-135,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m07.89s,"1,245,328,604",-68d18m52.08s,"-683,144,658",,,"32,000","-32,000","71,010,000","180,000","-180,000",2021-08-23,2021-09,2021-08-23
HD 147513,HD 147513,1,2,1,300,"129,032,000.0",12.9,1,0,0,Published Confirmed,0,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,"52,840,000,000","630,000,000","-630,000,000",0,"1,320,000",,,0,,,,,,,,,"38,500,000",,,0,"121,000",,,0,Msini,"260,000","50,000","-50,000",0,,,,,,,,,0,,"5883,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h24m01.39s,"2,460,057,894",-39d11m34.68s,"-391,929,661",,,"234,000","-233,000","39,330,000","360,000","-360,000",2019-01-28,2004-02,2019-01-31
HD 128311,HD 128311,1,1,2,960,"163,292,000.0",16.3,1,0,0,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795...41M/abstract target=ref>McArthur et al. 2014</a>,"45,301,900,000","40,400,000","-40,400,000",0,"1,084,000","6,000","-6,000",0,,,,,,,,,"56,224,127","731,009","-731,009",0,"176,900","2,300","-2,300",0,Msini,"303,000","11,000","-11,000",0,,,,,,,,,0,,,,,,,,,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h36m00.78s,"2,190,032,292",+09d44m43.57s,"97,454,368",,,"199,000","-198,000","51,420,000","170,000","-170,000",2015-06-24,2014-11,2015-06-25
GJ 504,HD 115383,1,1,1,160,"175,299,000.0",17.5,0,0,0,Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref> Kuzuhara et al. 2013 </a>,,,,,"43,500,000",,,0,,,,,,,,,"127,130,000","143,020,000","-31,780,000",0,"400,000","450,000","-100,000",0,Mass,,,,,,,,,510,30,-20,0,0,G0 V,"6234,00","25,00","-25,00",0,,350,-60,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m46.16s,"1,991,923,480",+09d25m29.92s,"94,249,781",,,"785,000","-778,000","40,330,000","2,380,000","-2,380,000",2014-05-14,2013-09,2014-05-14
HN Peg,HD 206860,1,1,1,300,"181,186,000.0",18.1,0,0,0,Published Confirmed,0,<a refstr=LUHMAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..570L/abstract target=ref> Luhman et al. 2007 </a>,,,,,"773,000,000","13,000,000","-13,000,000",0,"11,777","1,527",-654,0,"1,051",136,-58,0,"699,157,000","299,639,000","-299,639,000",0,"2,199,870","942,803","-942,803",0,Mass,,,,,,,,,,,,,0,G0 V,,,,,,200,-200,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h44m31.58s,"3,261,315,705",+14d46m17.23s,"147,714,524",,,"201,000","-201,000","45,590,000","380,000","-380,000",2014-05-14,2007-01,2014-05-14
bet Pic,HD 39060,0,1,2,23,"197,442,000.0",19.7,1,0,0,Published Confirmed,0,<a refstr=LAGRANGE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1135L/abstract target=ref>Lagrange et al. 2019</a>,"120,000,000,000",,,0,"2,700,000",,,0,,,,,,,,,"286,047,000",,,0,"900,000",,,0,Mass,"240,000",,,0,,,,,,,,,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,"868,212,337",-51d03m58.13s,"-510,661,480",,,"1,320,000","-1,303,000","35,260,000","2,220,000","-2,220,000",2019-08-23,2019-08,2019-08-29
HD 63433,HD 63433,1,1,2,414,"224,035,000.0",22.4,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..179M/abstract target=ref>Mann et al. 2020</a>,"710,793,000","40,000","-34,000",0,"71,900","3,100","-4,400",0,"2,150",100,-100,0,192,9,-9,0,,,,,,,,,,0,,,0,,,,,,,,,0,,"5640,00","74,00","-74,00",0,,23,-23,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h49m55.05s,"1,174,793,699",+27d21m47.28s,"273,631,342",,,"225,000","-225,000","52,580,000","160,000","-160,000",2020-09-17,2020-10,2020-09-24
